Rider,Points,Team
del Toro Isaac,8,UAE Team Emirates-XRG
Pogacar Tadej,8,UAE Team Emirates-XRG
Evenepoel Remco,6,Red Bull-BORA-hansgrohe
Vingegaard Jonas,15,Team Visma | Lease a Bike
Skjelmose Mattias,7,Lidl-Trek
Johannessen Tobias Halland,0,Uno-X Mobility
Grégoire Romain,3,Groupama-FDJ United
Martinez Lenny,2,Bahrain Victorious
Seixas Paul,5,Decathlon CMA CGM Team
Pidcock Tom,0,Pinarello-Q36.5 Pro Cycling Team
Van Eetvelt Lennert,0,Lotto-Intermarché
Ayuso Juan,7,Lidl-Trek
Van Wilder Ilan,0,Soudal Quick-Step
Carapaz Richard,0,EF Education-EasyPost
Baudin Alex,0,EF Education-EasyPost
Lipowitz Florian,6,Red Bull-BORA-hansgrohe
Uijtdebroeks Cian,0,Movistar Team
Yates Adam,8,UAE Team Emirates-XRG
Higuita Sergio,0,XDS Astana Team
Foss Tobias,10,Netcompany INEOS Cycling Team
Arensman Thymen,10,Netcompany INEOS Cycling Team
van der Poel Mathieu,4,Alpecin-Premier Tech
Bernal Egan,10,Netcompany INEOS Cycling Team
Aranburu Alex,0,Cofidis
Tejada Harold,0,XDS Astana Team
Parra José Félix,0,Caja Rural-Seguros RGA
Voisard Yannis,0,Tudor Pro Cycling Team
Piganzoli Davide,15,Team Visma | Lease a Bike
Jegat Jordan,0,Team TotalEnergies
Izagirre Ion,0,Cofidis
Romo Javier,0,Movistar Team
Balderstone Abel,0,Caja Rural-Seguros RGA
Delbove Joris,0,Team TotalEnergies
Quinn Sean,0,EF Education-EasyPost
Træen Torstein,0,Uno-X Mobility
Hindley Jai,6,Red Bull-BORA-hansgrohe
Benoot Tiesj,5,Decathlon CMA CGM Team
Vacek Mathias,7,Lidl-Trek
McNulty Brandon,8,UAE Team Emirates-XRG
O'Connor Ben,1,Team Jayco-AlUla
Riccitello Matthew,5,Decathlon CMA CGM Team
Martin-Guyonnet Guillaume,3,Groupama-FDJ United
Bennett George,0,NSN Cycling Team
Plapp Luke,1,Team Jayco-AlUla
Gee-West Derek,7,Lidl-Trek
Tiberi Antonio,2,Bahrain Victorious
Hermans Quinten,0,Pinarello-Q36.5 Pro Cycling Team
Jorgenson Matteo,15,Team Visma | Lease a Bike
Schmid Mauro,1,Team Jayco-AlUla
Armirail Bruno,15,Team Visma | Lease a Bike
Vauquelin Kévin,10,Netcompany INEOS Cycling Team
Kuss Sepp,15,Team Visma | Lease a Bike
Johannessen Anders Halland,0,Uno-X Mobility
Braz Afonso Clément,3,Groupama-FDJ United
Skaarseth Anders,0,Uno-X Mobility
Eenkhoorn Pascal,0,Soudal Quick-Step
Steinhauser Georg,0,EF Education-EasyPost
Zimmermann Georg,0,Lotto-Intermarché
Pluimers Rick,0,Tudor Pro Cycling Team
Dhondt Robbe,0,Team Picnic PostNL
Berwick Sebastian,0,Caja Rural-Seguros RGA
Prodhomme Nicolas,5,Decathlon CMA CGM Team
Vervaeke Louis,0,Soudal Quick-Step
Hirschi Marc,0,Tudor Pro Cycling Team
Craps Lars,0,Lotto-Intermarché
Verstrynge Emiel,4,Alpecin-Premier Tech
Harper Chris,0,Pinarello-Q36.5 Pro Cycling Team
Debruyne Ramses,4,Alpecin-Premier Tech
Pacher Quentin,3,Groupama-FDJ United
Nicolau Joel,0,Caja Rural-Seguros RGA
Van Gils Maxim,6,Red Bull-BORA-hansgrohe
Meurisse Xandro,0,Pinarello-Q36.5 Pro Cycling Team
Caruso Damiano,2,Bahrain Victorious
Guernalec Thibault,0,Team TotalEnergies
Frigo Marco,0,NSN Cycling Team
Stannard Robert,2,Bahrain Victorious
Oliveira Nelson,0,Movistar Team
Germani Lorenzo,3,Groupama-FDJ United
Costiou Ewen,3,Groupama-FDJ United
Delettre Alexandre,0,Team TotalEnergies
Vercher Mattéo,0,Team TotalEnergies
Breuillard Nicolas,0,Team TotalEnergies
Cattaneo Mattia,6,Red Bull-BORA-hansgrohe
Thomas Benjamin,0,Cofidis
Tarling Joshua,10,Netcompany INEOS Cycling Team
Kwiatkowski Michal,10,Netcompany INEOS Cycling Team
Teunissen Mike,0,XDS Astana Team
Durbridge Luke,1,Team Jayco-AlUla
van Baarle Dylan,0,Soudal Quick-Step
García Raúl,0,Movistar Team
Alaphilippe Julian,0,Tudor Pro Cycling Team
Matthews Michael,1,Team Jayco-AlUla
Paret-Peintre Valentin,0,Soudal Quick-Step
Russo Clément,3,Groupama-FDJ United
Märkl Niklas,0,Team Picnic PostNL
Paret-Peintre Aurélien,5,Decathlon CMA CGM Team
Gate Aaron,0,XDS Astana Team
Campenaerts Victor,15,Team Visma | Lease a Bike
Wellens Tim,8,UAE Team Emirates-XRG
Großschartner Felix,8,UAE Team Emirates-XRG
Le Berre Mathis,0,Team TotalEnergies
Verona Carlos,7,Lidl-Trek
Rickaert Jonas,4,Alpecin-Premier Tech
Asgreen Kasper,0,EF Education-EasyPost
Walker Max,0,EF Education-EasyPost
Valgren Michael,0,EF Education-EasyPost
Healy Ben,0,EF Education-EasyPost
Heßmann Michel,0,Movistar Team
Berckmoes Jenno,0,Lotto-Intermarché
Askey Lewis,0,NSN Cycling Team
Planckaert Edward,4,Alpecin-Premier Tech
Engelhardt Felix,1,Team Jayco-AlUla
Politt Nils,8,UAE Team Emirates-XRG
Abrahamsen Jonas,0,Uno-X Mobility
Van Asbroeck Tom,0,NSN Cycling Team
Dillier Silvan,4,Alpecin-Premier Tech
Vinokurov Nicolas,0,XDS Astana Team
Page Hugo,0,Cofidis
Rubio Einer,0,Movistar Team
Denz Nico,6,Red Bull-BORA-hansgrohe
Godon Dorian,10,Netcompany INEOS Cycling Team
Barguil Warren,0,Team Picnic PostNL
Degenkolb John,0,Team Picnic PostNL
Azparren Xabier,0,Pinarello-Q36.5 Pro Cycling Team
Howson Damien,0,Pinarello-Q36.5 Pro Cycling Team
Cepeda Jefferson,0,Movistar Team
Castrillo Pablo,0,Movistar Team
Marsman Tim,4,Alpecin-Premier Tech
Charmig Anthon,0,Uno-X Mobility
Turgis Anthony,0,Team TotalEnergies
Louvel Matis,0,NSN Cycling Team
Philipsen Jasper,4,Alpecin-Premier Tech
Stuyven Jasper,0,Soudal Quick-Step
Van Moer Brent,0,Pinarello-Q36.5 Pro Cycling Team
Vermeersch Florian,8,UAE Team Emirates-XRG
van Dijke Tim,6,Red Bull-BORA-hansgrohe
Biesterbos Frits,0,Team Picnic PostNL
Storer Michael,0,Tudor Pro Cycling Team
Bittner Pavel,0,Team Picnic PostNL
Oldani Stefano,0,Caja Rural-Seguros RGA
Gaviria Fernando,0,Caja Rural-Seguros RGA
Kanter Max,0,XDS Astana Team
Biermans Jenthe,0,Cofidis
Otruba Jakub,0,Caja Rural-Seguros RGA
Skujins Toms,7,Lidl-Trek
Neilands Krists,0,NSN Cycling Team
Merlier Tim,0,Soudal Quick-Step
Hoole Daan,5,Decathlon CMA CGM Team
Fretin Milan,0,Cofidis
Cort Magnus,0,Uno-X Mobility
Mohoric Matej,2,Bahrain Victorious
Tratnik Jan,6,Red Bull-BORA-hansgrohe
Simmons Quinn,7,Lidl-Trek
Kirsch Alex,0,Cofidis
Stewart Jake,0,NSN Cycling Team
Pedersen Mads,7,Lidl-Trek
Girmay Biniam,0,NSN Cycling Team
de Kleijn Arvid,0,Tudor Pro Cycling Team
Bauhaus Phil,2,Bahrain Victorious
van den Berg Julius,0,Team Picnic PostNL
van den Broek Frank,0,Team Picnic PostNL
Ackermann Pascal,1,Team Jayco-AlUla
Gradek Kamil,2,Bahrain Victorious
Velasco Simone,0,XDS Astana Team
Molenaar Alex,0,Caja Rural-Seguros RGA
Allegaert Piet,0,Cofidis
Van Mechelen Vlad,2,Bahrain Victorious
Wright Fred,0,Pinarello-Q36.5 Pro Cycling Team
Ganna Filippo,10,Netcompany INEOS Cycling Team
Van Lerberghe Bert,0,Soudal Quick-Step
Hagenes Per Strand,15,Team Visma | Lease a Bike
Wærenskjold Søren,0,Uno-X Mobility
Trentin Matteo,0,Tudor Pro Cycling Team
Artz Huub,0,Lotto-Intermarché
Ballerini Davide,0,XDS Astana Team
Haller Marco,0,Tudor Pro Cycling Team
Slock Liam,0,Lotto-Intermarché
Affini Edoardo,15,Team Visma | Lease a Bike
O'Brien Kelland,1,Team Jayco-AlUla
Kooij Olav,5,Decathlon CMA CGM Team
Bol Cees,5,Decathlon CMA CGM Team
Veistroffer Baptiste,0,Lotto-Intermarché
De Lie Arnaud,0,Lotto-Intermarché
Berthet Clément,3,Groupama-FDJ United
